model,conversation_thread,scenario_id,choice,reason
llama3.2,12,3,A,N/A
llama3.2,12,4,B,N/A
llama3.2,12,5,C,N/A
llama3.2,12,6,C,N/A
llama3.2,12,7,C,N/A
llama3.2,12,8,C,N/A
llama3.2,13,1,B,N/A
llama3.2,13,2,B,N/A
llama3.2,13,3,A,N/A
llama3.2,13,4,B,N/A
llama3.2,13,5,B,N/A
llama3.2,13,6,B,N/A
llama3.2,13,7,B,N/A
llama3.2,13,8,B,N/A
llama3.2,14,1,B,N/A
llama3.2,14,2,B,N/A
llama3.2,14,3,A,N/A
llama3.2,14,4,B,N/A
llama3.2,14,5,B,N/A
llama3.2,14,6,C,N/A
llama3.2,14,7,A,N/A
llama3.2,14,8,C,N/A
llama3.2,15,1,B,N/A
llama3.2,15,2,B,N/A
llama3.2,15,3,A,N/A
llama3.2,15,4,B,N/A
llama3.2,15,5,C,N/A
llama3.2,15,6,B,N/A
llama3.2,15,7,A,N/A
llama3.2,15,8,B,N/A
llama3.2,16,1,B,N/A
llama3.2,16,2,B,N/A
llama3.2,16,3,A,N/A
llama3.2,16,4,C,N/A
llama3.2,16,5,A,N/A
llama3.2,16,6,B,N/A
llama3.2,16,7,A,N/A
llama3.2,16,8,B,N/A
llama3.2,17,1,B,N/A
llama3.2,17,2,B,N/A
llama3.2,17,3,A,N/A
llama3.2,17,4,B,N/A
llama3.2,17,5,B,N/A
llama3.2,17,6,B,N/A
llama3.2,17,7,A,N/A
llama3.2,17,8,B,N/A
llama3.2,18,1,B,N/A
llama3.2,18,2,B,N/A
llama3.2,18,3,A,N/A
llama3.2,18,4,B,N/A
llama3.2,18,5,B,N/A
llama3.2,18,6,B,N/A
llama3.2,18,7,B,N/A
llama3.2,18,8,C,N/A
llama3.2,19,1,B,N/A
llama3.2,19,2,B,N/A
llama3.2,19,3,A,N/A
llama3.2,19,4,B,N/A
llama3.2,19,5,B,N/A
llama3.2,19,6,B,N/A
llama3.2,19,7,A,N/A
llama3.2,19,8,B,N/A
llama3.2,20,1,B,N/A
llama3.2,20,2,B,N/A
llama3.2,20,3,A,N/A
llama3.2,20,4,B,N/A
llama3.2,20,5,B,N/A
llama3.2,20,6,B,N/A
llama3.2,20,7,A,N/A
llama3.2,20,8,B,N/A
llama3.2,21,1,B,N/A
llama3.2,21,2,B,N/A
llama3.2,21,3,A,N/A
llama3.2,21,4,B,N/A
llama3.2,21,5,B,N/A
llama3.2,21,6,B,N/A
llama3.2,21,7,C,N/A
llama3.2,21,8,C,N/A
llama3.2,22,1,B,N/A
llama3.2,22,2,B,N/A
llama3.2,22,3,A,N/A
llama3.2,22,4,B,N/A
llama3.2,22,5,B,N/A
llama3.2,22,6,B,N/A
llama3.2,22,7,B,N/A
llama3.2,22,8,B,N/A
llama3.2,23,1,B,N/A
llama3.2,23,2,B,N/A
llama3.2,23,3,A,N/A
llama3.2,23,4,C,N/A
llama3.2,23,5,C,N/A
llama3.2,23,6,C,N/A
llama3.2,23,7,C,N/A
llama3.2,23,8,C,N/A
llama3.2,24,1,B,N/A
llama3.2,24,2,B,N/A
llama3.2,24,3,A,N/A
llama3.2,24,4,B,N/A
llama3.2,24,5,B,N/A
llama3.2,24,6,B,N/A
llama3.2,24,7,A,N/A
llama3.2,24,8,B,N/A
llama3.2,25,1,B,N/A
llama3.2,25,2,B,N/A
llama3.2,25,3,A,N/A
llama3.2,25,4,B,N/A
llama3.2,25,5,C,N/A
llama3.2,25,6,B,N/A
llama3.2,25,7,A,N/A
llama3.2,25,8,B,N/A
llama3.2,26,1,C,N/A
llama3.2,26,2,C,N/A
llama3.2,26,3,C,N/A
llama3.2,26,4,C,N/A
llama3.2,26,5,C,N/A
llama3.2,26,6,C,N/A
llama3.2,26,7,C,N/A
llama3.2,26,8,C,N/A
llama3.2,27,1,B,N/A
llama3.2,27,2,B,N/A
llama3.2,27,3,A,N/A
llama3.2,27,4,B,N/A
llama3.2,27,5,C,N/A
llama3.2,27,6,C,N/A
llama3.2,27,7,C,N/A
llama3.2,27,8,C,N/A
llama3.2,28,1,B,N/A
llama3.2,28,2,C,N/A
llama3.2,28,3,A,N/A
llama3.2,28,4,B,N/A
llama3.2,28,5,B,N/A
llama3.2,28,6,C,N/A
llama3.2,28,7,B,N/A
llama3.2,28,8,C,N/A
llama3.2,29,1,B,N/A
llama3.2,29,2,B,N/A
llama3.2,29,3,A,N/A
llama3.2,29,4,B,N/A
llama3.2,29,5,B,N/A
llama3.2,29,6,B,N/A
llama3.2,29,7,A,N/A
llama3.2,29,8,B,N/A
llama3.2,30,1,B,N/A
llama3.2,30,2,B,N/A
llama3.2,30,3,A,N/A
llama3.2,30,4,C,N/A
llama3.2,30,5,C,N/A
llama3.2,30,6,C,N/A
llama3.2,30,7,C,N/A
llama3.2,30,8,C,N/A
llama3.2,31,1,B,N/A
llama3.2,31,2,B,N/A
llama3.2,31,3,A,N/A
llama3.2,31,4,B,N/A
llama3.2,31,5,B,N/A
llama3.2,31,6,B,N/A
llama3.2,31,7,B,N/A
llama3.2,31,8,B,N/A
llama3.2,32,1,B,N/A
llama3.2,32,2,B,N/A
llama3.2,32,3,A,N/A
llama3.2,32,4,B,N/A
llama3.2,32,5,B,N/A
llama3.2,32,6,B,N/A
llama3.2,32,7,B,N/A
llama3.2,32,8,B,N/A
llama3.2,33,1,B,N/A
llama3.2,33,2,B,N/A
llama3.2,33,3,A,N/A
llama3.2,33,4,B,N/A
llama3.2,33,5,B,N/A
llama3.2,33,6,B,N/A
llama3.2,33,7,B,N/A
llama3.2,33,8,B,N/A
llama3.2,34,1,B,N/A
llama3.2,34,2,B,N/A
llama3.2,34,3,A,N/A
llama3.2,34,4,B,N/A
llama3.2,34,5,B,N/A
llama3.2,34,6,C,N/A
llama3.2,34,7,B,N/A
llama3.2,34,8,A,N/A
llama3.2,35,1,B,N/A
llama3.2,35,2,B,N/A
llama3.2,35,3,A,N/A
llama3.2,35,4,B,N/A
llama3.2,35,5,B,N/A
llama3.2,35,6,B,N/A
llama3.2,35,7,B,N/A
llama3.2,35,8,C,N/A
llama3.2,36,1,B,N/A
llama3.2,36,2,B,N/A
llama3.2,36,3,A,N/A
llama3.2,36,4,B,N/A
llama3.2,36,5,B,N/A
llama3.2,36,6,B,N/A
llama3.2,36,7,A,N/A
llama3.2,36,8,B,N/A
llama3.2,37,1,B,N/A
llama3.2,37,2,B,N/A
llama3.2,37,3,A,N/A
llama3.2,37,4,C,N/A
llama3.2,37,5,B,N/A
llama3.2,37,6,C,N/A
llama3.2,37,7,A,N/A
llama3.2,37,8,B,N/A
llama3.2,38,1,B,N/A
llama3.2,38,2,B,N/A
llama3.2,38,3,A,N/A
llama3.2,38,4,C,N/A
llama3.2,38,5,C,N/A
llama3.2,38,6,C,N/A
llama3.2,38,7,C,N/A
llama3.2,38,8,C,N/A
llama3.2,39,1,B,N/A
llama3.2,39,2,B,N/A
llama3.2,39,3,A,N/A
llama3.2,39,4,C,N/A
llama3.2,39,5,B,N/A
llama3.2,39,6,C,N/A
llama3.2,39,7,C,N/A
llama3.2,39,8,B,N/A
llama3.2,40,1,B,N/A
llama3.2,40,2,B,N/A
llama3.2,40,3,B,N/A
llama3.2,40,4,B,N/A
llama3.2,40,5,C,N/A
llama3.2,40,6,B,N/A
llama3.2,40,7,B,N/A
llama3.2,40,8,B,N/A
llama3.2,41,1,B,N/A
llama3.2,41,2,B,N/A
llama3.2,41,3,A,N/A
llama3.2,41,4,B,N/A
llama3.2,41,5,B,N/A
llama3.2,41,6,B,N/A
llama3.2,41,7,A,N/A
llama3.2,41,8,B,N/A
llama3.2,42,1,B,N/A
llama3.2,42,2,B,N/A
llama3.2,42,3,A,N/A
llama3.2,42,4,C,N/A
llama3.2,42,5,C,N/A
llama3.2,42,6,C,N/A
llama3.2,42,7,B,N/A
llama3.2,42,8,A,N/A
llama3.2,43,1,C,N/A
llama3.2,43,2,B,N/A
llama3.2,43,3,B,N/A
llama3.2,43,4,B,N/A
llama3.2,43,5,B,N/A
llama3.2,43,6,B,N/A
llama3.2,43,7,A,N/A
llama3.2,43,8,B,N/A
llama3.2,44,1,B,N/A
llama3.2,44,2,B,N/A
llama3.2,44,3,C,N/A
llama3.2,44,4,C,N/A
llama3.2,44,5,C,N/A
llama3.2,44,6,C,N/A
llama3.2,44,7,A,N/A
llama3.2,44,8,B,N/A
llama3.2,45,1,B,N/A
llama3.2,45,2,B,N/A
llama3.2,45,3,A,N/A
llama3.2,45,4,B,N/A
llama3.2,45,5,B,N/A
llama3.2,45,6,B,N/A
llama3.2,45,7,B,N/A
llama3.2,45,8,B,N/A
llama3.2,46,1,B,N/A
llama3.2,46,2,B,N/A
llama3.2,46,3,A,N/A
llama3.2,46,4,B,N/A
llama3.2,46,5,B,N/A
llama3.2,46,6,C,N/A
llama3.2,46,7,A,N/A
llama3.2,46,8,C,N/A
llama3.2,47,1,B,N/A
llama3.2,47,2,B,N/A
llama3.2,47,3,A,N/A
llama3.2,47,4,B,N/A
llama3.2,47,5,A,N/A
llama3.2,47,6,B,N/A
llama3.2,47,7,B,N/A
llama3.2,47,8,B,N/A
llama3.2,48,1,B,N/A
llama3.2,48,2,B,N/A
llama3.2,48,3,A,N/A
llama3.2,48,4,A,N/A
llama3.2,48,5,C,N/A
llama3.2,48,6,B,N/A
llama3.2,48,7,A,N/A
llama3.2,48,8,B,N/A
llama3.2,49,1,C,N/A
llama3.2,49,2,C,N/A
llama3.2,49,3,C,N/A
llama3.2,49,4,C,N/A
llama3.2,49,5,C,N/A
llama3.2,49,6,B,N/A
llama3.2,49,7,B,N/A
llama3.2,49,8,B,N/A
llama3.2,50,1,B,N/A
llama3.2,50,2,B,N/A
llama3.2,50,3,A,N/A
llama3.2,50,4,B,N/A
llama3.2,50,5,B,N/A
llama3.2,50,6,C,N/A
llama3.2,50,7,B,N/A
llama3.2,50,8,C,N/A
llama3.2,51,1,B,N/A
llama3.2,51,2,B,N/A
llama3.2,51,3,B,N/A
llama3.2,51,4,B,N/A
llama3.2,51,5,B,N/A
llama3.2,51,6,B,N/A
llama3.2,51,7,A,N/A
llama3.2,51,8,A,N/A
llama3.2,52,1,B,N/A
llama3.2,52,2,B,N/A
llama3.2,52,3,A,N/A
llama3.2,52,4,B,N/A
llama3.2,52,5,B,N/A
llama3.2,52,6,B,N/A
llama3.2,52,7,A,N/A
llama3.2,52,8,B,N/A
llama3.2,53,1,C,N/A
llama3.2,53,2,B,N/A
llama3.2,53,3,A,N/A
llama3.2,53,4,A,N/A
llama3.2,53,5,B,N/A
llama3.2,53,6,B,N/A
llama3.2,53,7,A,N/A
llama3.2,53,8,B,N/A
llama3.2,54,1,B,N/A
llama3.2,54,2,B,N/A
llama3.2,54,3,A,N/A
llama3.2,54,4,B,N/A
llama3.2,54,5,B,N/A
llama3.2,54,6,B,N/A
llama3.2,54,7,B,N/A
llama3.2,54,8,C,N/A
llama3.2,55,1,B,N/A
llama3.2,55,2,B,N/A
llama3.2,55,3,A,N/A
llama3.2,55,4,B,N/A
llama3.2,55,5,B,N/A
llama3.2,55,6,B,N/A
llama3.2,55,7,A,N/A
llama3.2,55,8,A,N/A
llama3.2,56,1,B,N/A
llama3.2,56,2,B,N/A
llama3.2,56,3,A,N/A
llama3.2,56,4,B,N/A
llama3.2,56,5,B,N/A
llama3.2,56,6,C,N/A
llama3.2,56,7,C,N/A
llama3.2,56,8,A,N/A
llama3.2,57,1,B,N/A
llama3.2,57,2,B,N/A
llama3.2,57,3,A,N/A
llama3.2,57,4,A,N/A
llama3.2,57,5,B,N/A
llama3.2,57,6,A,N/A
llama3.2,57,7,A,N/A
llama3.2,57,8,B,N/A
llama3.2,58,1,B,N/A
llama3.2,58,2,B,N/A
llama3.2,58,3,A,N/A
llama3.2,58,4,B,N/A
llama3.2,58,5,B,N/A
llama3.2,58,6,B,N/A
llama3.2,58,7,B,N/A
llama3.2,58,8,B,N/A
llama3.2,59,1,B,N/A
llama3.2,59,2,B,N/A
llama3.2,59,3,A,N/A
llama3.2,59,4,B,N/A
llama3.2,59,5,B,N/A
llama3.2,59,6,B,N/A
llama3.2,59,7,B,N/A
llama3.2,59,8,B,N/A
llama3.2,60,1,B,N/A
llama3.2,60,2,B,N/A
llama3.2,60,3,A,N/A
llama3.2,60,4,B,N/A
llama3.2,60,5,A,N/A
llama3.2,60,6,B,N/A
llama3.2,60,7,B,N/A
llama3.2,60,8,C,N/A
llama3.2,61,1,B,N/A
llama3.2,61,2,B,N/A
llama3.2,61,3,B,N/A
llama3.2,61,4,B,N/A
llama3.2,61,5,B,N/A
llama3.2,61,6,B,N/A
llama3.2,61,7,A,N/A
llama3.2,61,8,B,N/A
llama3.2,62,1,B,N/A
llama3.2,62,2,B,N/A
llama3.2,62,3,A,N/A
llama3.2,62,4,B,N/A
llama3.2,62,5,B,N/A
llama3.2,62,6,B,N/A
llama3.2,62,7,A,N/A
llama3.2,62,8,B,N/A
llama3.2,63,1,B,N/A
llama3.2,63,2,B,N/A
llama3.2,63,3,A,N/A
llama3.2,63,4,B,N/A
llama3.2,63,5,C,N/A
llama3.2,63,6,B,N/A
llama3.2,63,7,B,N/A
llama3.2,63,8,A,N/A
llama3.2,64,1,B,N/A
llama3.2,64,2,B,N/A
llama3.2,64,3,A,N/A
llama3.2,64,4,B,N/A
llama3.2,64,5,B,N/A
llama3.2,64,6,B,N/A
llama3.2,64,7,B,N/A
llama3.2,64,8,B,N/A
llama3.2,65,1,B,N/A
llama3.2,65,2,B,N/A
llama3.2,65,3,C,N/A
llama3.2,65,4,B,N/A
llama3.2,65,5,C,N/A
llama3.2,65,6,C,N/A
llama3.2,65,7,C,N/A
llama3.2,65,8,C,N/A
llama3.2,66,1,B,N/A
llama3.2,66,2,B,N/A
llama3.2,66,3,A,N/A
llama3.2,66,4,A,N/A
llama3.2,66,5,B,N/A
llama3.2,66,6,B,N/A
llama3.2,66,7,B,N/A
llama3.2,66,8,B,N/A
llama3.2,67,1,B,N/A
llama3.2,67,2,B,N/A
llama3.2,67,3,A,N/A
llama3.2,67,4,A,N/A
llama3.2,67,5,B,N/A
llama3.2,67,6,B,N/A
llama3.2,67,7,A,N/A
llama3.2,67,8,B,N/A
llama3.2,68,1,B,N/A
llama3.2,68,2,B,N/A
llama3.2,68,3,A,N/A
llama3.2,68,4,B,N/A
llama3.2,68,5,B,N/A
llama3.2,68,6,B,N/A
llama3.2,68,7,A,N/A
llama3.2,68,8,B,N/A
llama3.2,69,1,B,N/A
llama3.2,69,2,B,N/A
llama3.2,69,3,A,N/A
llama3.2,69,4,B,N/A
llama3.2,69,5,B,N/A
llama3.2,69,6,C,N/A
llama3.2,69,7,C,N/A
llama3.2,69,8,C,N/A
llama3.2,70,1,B,N/A
llama3.2,70,2,B,N/A
llama3.2,70,3,A,N/A
llama3.2,70,4,B,N/A
llama3.2,70,5,C,N/A
llama3.2,70,6,B,N/A
llama3.2,70,7,A,N/A
llama3.2,70,8,B,N/A
llama3.2,71,1,B,N/A
llama3.2,71,2,B,N/A
llama3.2,71,3,A,N/A
llama3.2,71,4,B,N/A
llama3.2,71,5,B,N/A
llama3.2,71,6,B,N/A
llama3.2,71,7,A,N/A
llama3.2,71,8,B,N/A
llama3.2,72,1,B,N/A
llama3.2,72,2,B,N/A
llama3.2,72,3,A,N/A
llama3.2,72,4,B,N/A
llama3.2,72,5,C,N/A
llama3.2,72,6,C,N/A
llama3.2,72,7,C,N/A
llama3.2,72,8,C,N/A
llama3.2,73,1,B,N/A
llama3.2,73,2,B,N/A
llama3.2,73,3,A,N/A
llama3.2,73,4,B,N/A
llama3.2,73,5,B,N/A
llama3.2,73,6,B,N/A
llama3.2,73,7,B,N/A
llama3.2,73,8,B,N/A
llama3.2,74,1,B,N/A
llama3.2,74,2,B,N/A
llama3.2,74,3,A,N/A
llama3.2,74,4,B,N/A
llama3.2,74,5,A,N/A
llama3.2,74,6,B,N/A
llama3.2,74,7,A,N/A
llama3.2,74,8,B,N/A
llama3.2,75,1,B,N/A
llama3.2,75,2,B,N/A
llama3.2,75,3,C,N/A
llama3.2,75,4,C,N/A
llama3.2,75,5,C,N/A
llama3.2,75,6,C,N/A
llama3.2,75,7,A,N/A
llama3.2,75,8,B,N/A
llama3.2,76,1,B,N/A
llama3.2,76,2,B,N/A
llama3.2,76,3,A,N/A
llama3.2,76,4,B,N/A
llama3.2,76,5,C,N/A
llama3.2,76,6,C,N/A
llama3.2,76,7,C,N/A
llama3.2,76,8,C,N/A
llama3.2,77,1,B,N/A
llama3.2,77,2,B,N/A
llama3.2,77,3,A,N/A
llama3.2,77,4,B,N/A
llama3.2,77,5,C,N/A
llama3.2,77,6,C,N/A
llama3.2,77,7,B,N/A
llama3.2,77,8,C,N/A
llama3.2,78,1,B,N/A
llama3.2,78,2,B,N/A
llama3.2,78,3,A,N/A
llama3.2,78,4,B,N/A
llama3.2,78,5,B,N/A
llama3.2,78,6,B,N/A
llama3.2,78,7,C,N/A
llama3.2,78,8,C,N/A
llama3.2,79,1,B,N/A
llama3.2,79,2,B,N/A
llama3.2,79,3,A,N/A
llama3.2,79,4,B,N/A
llama3.2,79,5,B,N/A
llama3.2,79,6,B,N/A
llama3.2,79,7,A,N/A
llama3.2,79,8,B,N/A
llama3.2,80,1,B,N/A
llama3.2,80,2,B,N/A
llama3.2,80,3,A,N/A
llama3.2,80,4,A,N/A
llama3.2,80,5,B,N/A
llama3.2,80,6,B,N/A
llama3.2,80,7,B,N/A
llama3.2,80,8,B,N/A
llama3.2,81,1,B,N/A
llama3.2,81,2,B,N/A
llama3.2,81,3,A,N/A
llama3.2,81,4,B,N/A
llama3.2,81,5,C,N/A
llama3.2,81,6,C,N/A
llama3.2,81,7,C,N/A
llama3.2,81,8,A,N/A
llama3.2,82,1,B,N/A
llama3.2,82,2,B,N/A
llama3.2,82,3,A,N/A
llama3.2,82,4,B,N/A
llama3.2,82,5,B,N/A
llama3.2,82,6,B,N/A
llama3.2,82,7,B,N/A
llama3.2,82,8,B,N/A
llama3.2,83,1,B,N/A
llama3.2,83,2,B,N/A
llama3.2,83,3,B,N/A
llama3.2,83,4,C,N/A
llama3.2,83,5,C,N/A
llama3.2,83,6,C,N/A
llama3.2,83,7,B,N/A
llama3.2,83,8,C,N/A
llama3.2,84,1,B,N/A
llama3.2,84,2,B,N/A
llama3.2,84,3,A,N/A
llama3.2,84,4,B,N/A
llama3.2,84,5,B,N/A
llama3.2,84,6,B,N/A
llama3.2,84,7,A,N/A
llama3.2,84,8,B,N/A
llama3.2,85,1,B,N/A
llama3.2,85,2,B,N/A
llama3.2,85,3,A,N/A
llama3.2,85,4,B,N/A
llama3.2,85,5,B,N/A
llama3.2,85,6,B,N/A
llama3.2,85,7,B,N/A
llama3.2,85,8,B,N/A
llama3.2,86,1,C,N/A
llama3.2,86,2,B,N/A
llama3.2,86,3,A,N/A
llama3.2,86,4,A,N/A
llama3.2,86,5,B,N/A
llama3.2,86,6,C,N/A
llama3.2,86,7,B,N/A
llama3.2,86,8,C,N/A
llama3.2,87,1,B,N/A
llama3.2,87,2,B,N/A
llama3.2,87,3,A,N/A
llama3.2,87,4,B,N/A
llama3.2,87,5,B,N/A
llama3.2,87,6,B,N/A
llama3.2,87,7,A,N/A
llama3.2,87,8,B,N/A
llama3.2,88,1,B,N/A
llama3.2,88,2,B,N/A
llama3.2,88,3,A,N/A
llama3.2,88,4,B,N/A
llama3.2,88,5,B,N/A
llama3.2,88,6,B,N/A
llama3.2,88,7,B,N/A
llama3.2,88,8,B,N/A
llama3.2,89,1,B,N/A
llama3.2,89,2,B,N/A
llama3.2,89,3,B,N/A
llama3.2,89,4,A,N/A
llama3.2,89,5,B,N/A
llama3.2,89,6,B,N/A
llama3.2,89,7,A,N/A
llama3.2,89,8,B,N/A
llama3.2,90,1,B,N/A
llama3.2,90,2,B,N/A
llama3.2,90,3,A,N/A
llama3.2,90,4,B,N/A
llama3.2,90,5,B,N/A
llama3.2,90,6,C,N/A
llama3.2,90,7,B,N/A
llama3.2,90,8,B,N/A
llama3.2,91,1,B,N/A
llama3.2,91,2,B,N/A
llama3.2,91,3,A,N/A
llama3.2,91,4,B,N/A
llama3.2,91,5,B,N/A
llama3.2,91,6,B,N/A
llama3.2,91,7,B,N/A
llama3.2,91,8,C,N/A
llama3.2,92,1,B,N/A
llama3.2,92,2,C,N/A
llama3.2,92,3,C,N/A
llama3.2,92,4,B,N/A
llama3.2,92,5,A,N/A
llama3.2,92,6,B,N/A
llama3.2,92,7,A,N/A
llama3.2,92,8,B,N/A
llama3.2,93,1,B,N/A
llama3.2,93,2,B,N/A
llama3.2,93,3,A,N/A
llama3.2,93,4,B,N/A
llama3.2,93,5,B,N/A
llama3.2,93,6,B,N/A
llama3.2,93,7,A,N/A
llama3.2,93,8,B,N/A
llama3.2,94,1,B,N/A
llama3.2,94,2,B,N/A
llama3.2,94,3,A,N/A
llama3.2,94,4,B,N/A
llama3.2,94,5,B,N/A
llama3.2,94,6,B,N/A
llama3.2,94,7,B,N/A
llama3.2,94,8,B,N/A
llama3.2,95,1,B,N/A
llama3.2,95,2,B,N/A
llama3.2,95,3,A,N/A
llama3.2,95,4,B,N/A
llama3.2,95,5,C,N/A
llama3.2,95,6,C,N/A
llama3.2,95,7,A,N/A
llama3.2,95,8,B,N/A
llama3.2,96,1,B,N/A
llama3.2,96,2,B,N/A
llama3.2,96,3,A,N/A
llama3.2,96,4,A,N/A
llama3.2,96,5,B,N/A
llama3.2,96,6,B,N/A
llama3.2,96,7,B,N/A
llama3.2,96,8,C,N/A
llama3.2,97,1,B,N/A
llama3.2,97,2,B,N/A
llama3.2,97,3,B,N/A
llama3.2,97,4,B,N/A
llama3.2,97,5,B,N/A
llama3.2,97,6,B,N/A
llama3.2,97,7,A,N/A
llama3.2,97,8,B,N/A
llama3.2,98,1,B,N/A
llama3.2,98,2,B,N/A
llama3.2,98,3,C,N/A
llama3.2,98,4,C,N/A
llama3.2,98,5,C,N/A
llama3.2,98,6,C,N/A
llama3.2,98,7,A,N/A
llama3.2,98,8,B,N/A
llama3.2,99,1,B,N/A
llama3.2,99,2,B,N/A
llama3.2,99,3,B,N/A
llama3.2,99,4,B,N/A
llama3.2,99,5,B,N/A
llama3.2,99,6,B,N/A
llama3.2,99,7,A,N/A
llama3.2,99,8,C,N/A
llama3.2,100,1,B,N/A
llama3.2,100,2,B,N/A
llama3.2,100,3,A,N/A
llama3.2,100,4,A,N/A
llama3.2,100,5,B,N/A
llama3.2,100,6,B,N/A
llama3.2,100,7,B,N/A
llama3.2,100,8,B,N/A
llama3.2,101,1,B,N/A
llama3.2,101,2,B,N/A
llama3.2,101,3,A,N/A
llama3.2,101,4,B,N/A
llama3.2,101,5,C,N/A
llama3.2,101,6,C,N/A
llama3.2,101,7,B,N/A
llama3.2,101,8,C,N/A
llama3.2,102,1,B,N/A
llama3.2,102,2,B,N/A
llama3.2,102,3,A,N/A
llama3.2,102,4,B,N/A
llama3.2,102,5,A,N/A
llama3.2,102,6,B,N/A
llama3.2,102,7,A,N/A
llama3.2,102,8,A,N/A
llama3.2,103,1,B,N/A
llama3.2,103,2,B,N/A
llama3.2,103,3,A,N/A
llama3.2,103,4,B,N/A
llama3.2,103,5,B,N/A
llama3.2,103,6,B,N/A
llama3.2,103,7,B,N/A
llama3.2,103,8,C,N/A
llama3.2,104,1,B,N/A
llama3.2,104,2,B,N/A
llama3.2,104,3,A,N/A
llama3.2,104,4,A,N/A
llama3.2,104,5,B,N/A
llama3.2,104,6,B,N/A
llama3.2,104,7,A,N/A
llama3.2,104,8,B,N/A
llama3.2,105,1,B,N/A
llama3.2,105,2,B,N/A
llama3.2,105,3,A,N/A
llama3.2,105,4,B,N/A
llama3.2,105,5,B,N/A
llama3.2,105,6,B,N/A
llama3.2,105,7,B,N/A
llama3.2,105,8,B,N/A
llama3.2,106,1,B,N/A
llama3.2,106,2,B,N/A
llama3.2,106,3,A,N/A
llama3.2,106,4,C,N/A
llama3.2,106,5,C,N/A
llama3.2,106,6,C,N/A
llama3.2,106,7,A,N/A
llama3.2,106,8,B,N/A
llama3.2,107,1,B,N/A
llama3.2,107,2,B,N/A
llama3.2,107,3,A,N/A
llama3.2,107,4,B,N/A
llama3.2,107,5,B,N/A
llama3.2,107,6,B,N/A
llama3.2,107,7,A,N/A
llama3.2,107,8,B,N/A
llama3.2,108,1,B,N/A
llama3.2,108,2,B,N/A
llama3.2,108,3,A,N/A
llama3.2,108,4,B,N/A
llama3.2,108,5,B,N/A
llama3.2,108,6,C,N/A
llama3.2,108,7,B,N/A
llama3.2,108,8,B,N/A
